query_id,query_category,doc_id,doc_category,doc_title,relevance
28396528,CHEF,3887860157,Other,Shipping Account Planner,0
28396528,CHEF,3901696247,Other,Utility/Busperson - Hudson and Nash - Hilton San Diego Bayfront,2
28396528,CHEF,3905391652,Other,Senior Business Intelligence Analyst,0
28396528,CHEF,3886963753,Other,Operations Coordinator,0
28396528,CHEF,3903804540,Other,Junior Social Media Insights Analyst ,0
28396528,CHEF,3894295332,Other,SEC Analyst,0
28396528,CHEF,3904394442,Other,Field Service Supervisor,0
28396528,CHEF,3904729063,Other,Occupational Therapist,0
28396528,CHEF,3904060718,Other,Technical Customer Service Representative,0
28396528,CHEF,3899523505,Other,Business Analyst (Pricing Strategy),0
28396528,CHEF,3902351604,Engineering,Sr. C++ Developer/Engineer,0
28396528,CHEF,3895561271,Sales,PT Sales Associate LensCrafters,0
28396528,CHEF,3902356633,Engineering,MS Dynamics CRM Developer,0
28396528,CHEF,3905287451,Management,Assistant Director of Experiential Programs,0
28396528,CHEF,3904944008,Engineering,Transportation Design Engineer,0
28396528,CHEF,3903471012,Healthcare,N00013 - Licensed Practical Nurse LPN,1
28396528,CHEF,3889495053,Finance,Jr. Financial Analyst,0
28396528,CHEF,3905880719,Sales,Retail Cashier & Sales Floor Support - Shoes - Oakbrook Center,0
28396528,CHEF,3891806211,Management,Program Manager,0
28396528,CHEF,3901668687,Education,"NCLEX Instructor - Lima, OH (On-Site)",0
31395742,CONSULTANT,3901348080,Consulting,SAP Project Systems/FICO Consultant (310817),0
31395742,CONSULTANT,3901939039,Consulting,Oracle HCM Consultant || Must be from Eastern time zone || 100% remote,0
31395742,CONSULTANT,3904503112,Consulting,Strategy & Communications Consultant,1
31395742,CONSULTANT,3899526631,Consulting,Business Robotics Process Automation Consultant,1
31395742,CONSULTANT,3904949640,Consulting,SAP SAC FP&A Consultant-hybrid,0
31395742,CONSULTANT,3906247788,Consulting,Associate Analyst Client Consulting,1
31395742,CONSULTANT,3902834162,Consulting,R Programming Consultant,0
31395742,CONSULTANT,3902305137,Consulting,Chef Consultant ,0
31395742,CONSULTANT,3901346531,Consulting,Information Security Consultant,2
31395742,CONSULTANT,3884848075,Consulting,Delivery Consultant: Security Identity and Access Management,2
31395742,CONSULTANT,3902945387,Other,Outreach Liaison,0
31395742,CONSULTANT,3889295570,Other,Advanced Practice Professional- Endocrinology,0
31395742,CONSULTANT,3894949176,Information-Technology,Credit Clerk ,0
31395742,CONSULTANT,3888941436,Engineering,Reliability Engineer,0
31395742,CONSULTANT,3905375244,Other,Client Partner (Professional Services) - Banking,1
31395742,CONSULTANT,3902828748,Finance,Senior Internal Auditor,0
31395742,CONSULTANT,3901689059,Management,Technical Lead,1
31395742,CONSULTANT,3904369136,Sales,Licensed Real Estate Sales Listing Agent,0
31395742,CONSULTANT,3904575062,Management,Satellite Branch Office Manager,0
31395742,CONSULTANT,3905305110,Management,Assistant Manager - Service Experience - Tysons Corner,1
16276121,DIGITAL-MEDIA,3894905078,Design,User Experience Designer,0
16276121,DIGITAL-MEDIA,3902786579,Design,Linux Administrator,0
16276121,DIGITAL-MEDIA,3884818888,Design,Associate Graphic Design Intern,0
16276121,DIGITAL-MEDIA,3894996858,Design,Graphic Designer,0
16276121,DIGITAL-MEDIA,3904727008,Design,UI/UX Designer,0
16276121,DIGITAL-MEDIA,3902360028,Design,Electrical Designer,0
16276121,DIGITAL-MEDIA,3884920513,Design,Graphic Designer,0
16276121,DIGITAL-MEDIA,3901944594,Design,Integrated Designer,1
16276121,DIGITAL-MEDIA,3900977299,Design,Linux Systems,0
16276121,DIGITAL-MEDIA,3904727363,Design,Instructional Designer/Training Specialist,0
16276121,DIGITAL-MEDIA,3905661456,Other,Part-Time Lecturer Communication (Pool Ad),1
16276121,DIGITAL-MEDIA,3900983006,Finance,Division Controller - (Manufacturing Experience),0
16276121,DIGITAL-MEDIA,3905872479,Other,Physical Therapist Assistant - Outpatient Rehab - Therapy & Wellness - Veterans First Floor (Metairie),0
16276121,DIGITAL-MEDIA,3903463482,Other,Paint Line Production Associate,0
16276121,DIGITAL-MEDIA,3906258619,Other,Quality Technician II,0
16276121,DIGITAL-MEDIA,3890873901,Management,Social Media Manager,1
16276121,DIGITAL-MEDIA,3894954730,Other,Customer Service Representative,1
16276121,DIGITAL-MEDIA,3906224303,Other,Physical Therapy Aide,0
16276121,DIGITAL-MEDIA,3888025642,Healthcare,LICENSED PRACTICAL NURSE - GOLDEN YEARS NURSING HOME,0
16276121,DIGITAL-MEDIA,3906222759,Other,NetOps Specialist Mid,0
81310245,BUSINESS-DEVELOPMENT,3888441431,Sales,Sales Advisor - Ken Garff Honda of Riverdale,1
81310245,BUSINESS-DEVELOPMENT,3902847580,Sales,Inside Sales Representative - Remote CA/Idaho/Oregon/Washington/New Jersey,1
81310245,BUSINESS-DEVELOPMENT,3903444840,Sales,"Insurance Sales Agent - Bloomington, IL",1
81310245,BUSINESS-DEVELOPMENT,3884429786,Sales,"Retail, Sales Associate",1
81310245,BUSINESS-DEVELOPMENT,3898173175,Sales,Aftermarket Sales Representative,2
81310245,BUSINESS-DEVELOPMENT,3904424842,Sales,Sales Design Consultant,1
81310245,BUSINESS-DEVELOPMENT,3901650517,Sales,Traveling Sales Representative- Metals Industry,2
81310245,BUSINESS-DEVELOPMENT,3899529058,Sales,Cardiology Business Development Representative-Seattle,1
81310245,BUSINESS-DEVELOPMENT,3906250686,Sales,Sr. Business Development Manager,2
81310245,BUSINESS-DEVELOPMENT,3901954930,Sales,"Sr. Manager, Supply Sales",1
81310245,BUSINESS-DEVELOPMENT,3904922483,Management,Lead Security Control Assessor,0
81310245,BUSINESS-DEVELOPMENT,3900958866,Other,Electronic Repair Technician,0
81310245,BUSINESS-DEVELOPMENT,3904369827,Other,Phlebotomist,0
81310245,BUSINESS-DEVELOPMENT,3905685981,Management,Community Manager - Non Exempt,1
81310245,BUSINESS-DEVELOPMENT,3905375166,Other,Oil & Lube Technician,0
81310245,BUSINESS-DEVELOPMENT,3885843705,Management,"Senior Manager, Technical Support Services - IS Infrastructure - Full Time 8 Hour Days (Exempt) (Non-Union)",0
81310245,BUSINESS-DEVELOPMENT,3904562993,Other,"Senior Industry Specialist - Data Science and GenAI, AWSI-M&E",1
81310245,BUSINESS-DEVELOPMENT,3902785498,Other,Production Superintendent,0
81310245,BUSINESS-DEVELOPMENT,3902781771,Other,D365 Sr. Solutions Analyst,0
81310245,BUSINESS-DEVELOPMENT,3904388261,Management,Assistant Community Manager - Tax Credit,1
30083943,SALES,3905254387,Sales,Community Sales Manager,0
30083943,SALES,3895542488,Sales,Associate Sales Consultant,0
30083943,SALES,3903465928,Sales,Midmarket Sales Executive - Midwest,0
30083943,SALES,3905813780,Sales,Corporate Account Executive,0
30083943,SALES,3902733868,Sales,Account Executive (Advanced Industries),0
30083943,SALES,3905394383,Sales,B&K Showroom Sales Consultant,0
30083943,SALES,3884845972,Sales,Lead Sales Advisor,0
30083943,SALES,3885829553,Sales,Sales Advisor - Intel Computers,0
30083943,SALES,3900945020,Sales,Sales Associate - White House Black Market,0
30083943,SALES,3904420613,Sales,"Sales Representative - Ashland, NH",0
30083943,SALES,3905870135,Legal,Legal Associate/Specialist,0
30083943,SALES,3889285842,Other,Transportation Planning Specialist Trainee,0
30083943,SALES,3898173900,Other,Support Associate - Soma,0
30083943,SALES,3905328524,Engineering,Sr Principal Electromagnetic/RF Engineer,0
30083943,SALES,3886457138,Other,Purchasing Estimator,0
30083943,SALES,3904366940,Other,BIM Coordinator,0
30083943,SALES,3902931460,Other,Senior Loan Officer,0
30083943,SALES,3906255281,Other,Shuttle Driver - Bob Howard Chrysler Dodge Jeep Ram,0
30083943,SALES,3904944261,Other,Certified Nursing Assistant - FT Days- St. Bernard Parish - Chalmette,1
30083943,SALES,3904713085,Management,Associate Technical Project Manager,0
11174187,ADVOCATE,3902829617,Legal,Worker's Compensation Attorney,0
11174187,ADVOCATE,3901391997,Legal,Customer Service Advocate,0
11174187,ADVOCATE,3904052674,Legal,Senior Paralegal,0
11174187,ADVOCATE,3708903045,Legal,Associate Attorney,0
11174187,ADVOCATE,3898160232,Legal,Paralegal,0
11174187,ADVOCATE,3904933529,Legal,Attorney,0
11174187,ADVOCATE,3901342644,Legal,Senior Attorney (Oil & Gas) - 100% REMOTE,0
11174187,ADVOCATE,3901951763,Legal,Deputy Attorney General,0
11174187,ADVOCATE,3905350104,Legal,Litigation Paralegal,0
11174187,ADVOCATE,3904076857,Legal,Paralegal,0
11174187,ADVOCATE,3905371690,Other,Reg Radiologic Technologist,0
11174187,ADVOCATE,3902753979,Other,Formulation Technician II,0
11174187,ADVOCATE,3905869055,Other,Senior Business Analyst,0
11174187,ADVOCATE,3888034509,Finance,Financial Advisor,0
11174187,ADVOCATE,3901389450,Management,Event Manager,0
11174187,ADVOCATE,3905337914,Sales,"Director, Business Development",0
11174187,ADVOCATE,3884440299,Other,Heavy Equipment Operator | Landfill | $3000 Bonus,0
11174187,ADVOCATE,3887834728,Engineering,Manufacturing Process Engineer,0
11174187,ADVOCATE,3902809893,Management,Assistant Store Director,0
11174187,ADVOCATE,3905330159,Other,OR Support Clerk - Surgery - JSB Pavilion – 10 Hour Day Shift – Per Diem,0
12858898,FINANCE,3900965348,Finance,Senior Property Accountant,1
12858898,FINANCE,3905372255,Finance,Financial Analyst,1
